rank,finalWorth,category,personName,age,country,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,date,birthYear,birthMonth,birthDay,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,total_tax_rate_country,population_country
352,6800,Technology,Gordon Moore,94,United States,Intel,Technology,United States,True,D,M,1929-01-03 00:00:00,4/4/2023 5:01,1929.0,1.0,3.0,-2147483648,89,102,37,328239523
352,6800,Finance & Investments,John Overdeck,54,United States,Hedge funds,Finance & Investments,United States,True,U,M,1969-12-21 00:00:00,4/4/2023 5:01,1969.0,12.0,21.0,-2147483648,89,102,37,328239523
352,6800,Finance & Investments,David Siegel,62,United States,Hedge funds,Finance & Investments,United States,True,U,M,1961-07-15 00:00:00,4/4/2023 5:01,1961.0,7.0,15.0,-2147483648,89,102,37,328239523
352,6800,Diversified,Viktor Vekselberg,66,Russia,"Metals, investments",Diversified,Russia,True,U,M,1957-04-14 00:00:00,4/4/2023 5:01,1957.0,4.0,14.0,-2147483648,82,103,47,144373535
352,6800,Technology,Wang Laisheng,59,China,Electronics components,Technology,Hong Kong,True,D,M,1964-12-14 00:00:00,4/4/2023 5:01,1964.0,12.0,14.0,-2147483648,51,101,60,1397715000
352,6800,Energy,Randa Duncan Williams,62,United States,Pipelines,Energy,United States,False,U,F,1961-08-28 00:00:00,4/4/2023 5:01,1961.0,8.0,28.0,-2147483648,89,102,37,328239523
365,6700,Finance & Investments,Ken Fisher,73,United States,Money management,Finance & Investments,United States,True,U,M,1950-11-29 00:00:00,4/4/2023 5:01,1950.0,11.0,29.0,-2147483648,89,102,37,328239523
365,6700,Finance & Investments,Christopher Hohn,57,United Kingdom,Hedge funds,Finance & Investments,United Kingdom,True,D,M,1966-10-27 00:00:00,4/4/2023 5:01,1966.0,10.0,27.0,-2147483648,60,102,31,66834405
365,6700,Manufacturing,Kjeld Kirk Kristiansen,76,Denmark,Lego,Manufacturing,Denmark,False,D,M,1947-12-27 00:00:00,4/4/2023 5:01,1947.0,12.0,27.0,-2147483648,81,102,24,5818553
365,6700,Manufacturing,Sofie Kirk Kristiansen,47,Denmark,Lego,Manufacturing,Denmark,False,D,F,1976-01-01 00:00:00,4/4/2023 5:01,1976.0,1.0,1.0,-2147483648,81,102,24,5818553
365,6700,Manufacturing,Thomas Kirk Kristiansen,44,Denmark,Lego,Manufacturing,Denmark,False,D,M,1979-01-01 00:00:00,4/4/2023 5:01,1979.0,1.0,1.0,-2147483648,81,102,24,5818553
365,6700,Healthcare,Massimiliana Landini Aleotti & family,80,Italy,Pharmaceuticals,Healthcare,Italy,False,U,F,1943-01-01 00:00:00,4/4/2023 5:01,1943.0,1.0,1.0,-2147483648,62,102,60,60297396
365,6700,Automotive,Li Ping,55,China,Batteries,Automotive,Hong Kong,True,D,M,1968-01-01 00:00:00,4/4/2023 5:01,1968.0,1.0,1.0,-2147483648,51,101,60,1397715000
365,6700,Manufacturing,Lin Jianhua,61,China,Solar panel components,Manufacturing,China,True,Split Family Fortune,M,1962-08-01 00:00:00,4/4/2023 5:01,1962.0,8.0,1.0,-2147483648,51,101,60,1397715000
365,6700,Manufacturing,Magdalena Martullo-Blocher,54,Switzerland,Chemicals,Manufacturing,Switzerland,False,D,F,1969-01-01 00:00:00,4/4/2023 5:01,1969.0,1.0,1.0,-2147483648,60,106,29,8574832
365,6700,Telecom,Xavier Niel,56,France,"Internet, telecom",Telecom,France,True,D,M,1967-08-25 00:00:00,4/4/2023 5:01,1967.0,8.0,25.0,-2147483648,66,103,61,67059887
365,6700,Energy,Terrence Pegula,72,United States,Natural gas,Energy,United States,True,U,M,1951-03-27 00:00:00,4/4/2023 5:01,1951.0,3.0,27.0,-2147483648,89,102,37,328239523
365,6700,Real Estate,"Edward Roski, Jr.",85,United States,Real estate,Real Estate,United States,False,U,M,1938-12-25 00:00:00,4/4/2023 5:01,1938.0,12.0,25.0,-2147483648,89,102,37,328239523
365,6700,Real Estate,John A. Sobrato & family,84,United States,Real estate,Real Estate,United States,True,U,M,1939-05-23 00:00:00,4/4/2023 5:01,1939.0,5.0,23.0,-2147483648,89,102,37,328239523
365,6700,Finance & Investments,George Soros,93,United States,Hedge funds,Finance & Investments,United States,True,D,M,1930-08-12 00:00:00,4/4/2023 5:01,1930.0,8.0,12.0,-2147483648,89,102,37,328239523
365,6700,Technology,David Sun,72,United States,Computer hardware,Technology,United States,True,U,M,1951-10-12 00:00:00,4/4/2023 5:01,1951.0,10.0,12.0,-2147483648,89,102,37,328239523
365,6700,Manufacturing,Agnete Kirk Thinggaard,40,Denmark,Lego,Manufacturing,Denmark,False,D,F,1983-05-18 00:00:00,4/4/2023 5:01,1983.0,5.0,18.0,-2147483648,81,102,24,5818553
365,6700,Technology,John Tu,82,United States,Computer hardware,Technology,United States,True,U,M,1941-08-12 00:00:00,4/4/2023 5:01,1941.0,8.0,12.0,-2147483648,89,102,37,328239523
365,6700,Food & Beverage,Xu Shihui,65,China,"Snacks, beverages",Food & Beverage,China,True,D,M,1958-01-01 00:00:00,4/4/2023 5:01,1958.0,1.0,1.0,-2147483648,51,101,60,1397715000
383,6600,Manufacturing,Rahel Blocher,47,Switzerland,Chemicals,Manufacturing,Switzerland,False,D,F,1976-01-01 00:00:00,4/4/2023 5:01,1976.0,1.0,1.0,-2147483648,60,106,29,8574832
383,6600,Food & Beverage,Bubba Cathy,69,United States,Chick-fil-A,Food & Beverage,United States,False,U,M,1954-04-22 00:00:00,4/4/2023 5:01,1954.0,4.0,22.0,-2147483648,89,102,37,328239523
383,6600,Food & Beverage,Dan Cathy,70,United States,Chick-fil-A,Food & Beverage,United States,False,U,M,1953-03-01 00:00:00,4/4/2023 5:01,1953.0,3.0,1.0,-2147483648,89,102,37,328239523
383,6600,Food & Beverage,Trudy Cathy White,68,United States,Chick-fil-A,Food & Beverage,United States,False,U,F,1955-12-17 00:00:00,4/4/2023 5:01,1955.0,12.0,17.0,-2147483648,89,102,37,328239523
383,6600,Finance & Investments,Bruce Kovner,78,United States,Hedge funds,Finance & Investments,United States,True,U,M,1945-02-25 00:00:00,4/4/2023 5:01,1945.0,2.0,25.0,-2147483648,89,102,37,328239523
383,6600,Technology,"Henry Nicholas, III.",64,United States,Semiconductors,Technology,United States,True,U,M,1959-10-08 00:00:00,4/4/2023 5:01,1959.0,10.0,8.0,-2147483648,89,102,37,328239523
383,6600,Finance & Investments,Nadia Thiele,47,Germany,Investments,Finance & Investments,Germany,False,U,F,1976-01-07 00:00:00,4/4/2023 5:01,1976.0,1.0,7.0,-2147483648,71,104,49,83132799
390,6500,Finance & Investments,David Bonderman,81,United States,Private equity,Finance & Investments,United States,True,U,M,1942-11-27 00:00:00,4/4/2023 5:01,1942.0,11.0,27.0,-2147483648,89,102,37,328239523
390,6500,Technology,Melinda French Gates,59,United States,Microsoft,Technology,United States,False,U,F,1964-08-15 00:00:00,4/4/2023 5:01,1964.0,8.0,15.0,-2147483648,89,102,37,328239523
390,6500,Fashion & Retail,Nathan Kirsh,91,Eswatini (Swaziland),"Retail, real estate",Fashion & Retail,Eswatini (Swaziland),True,U,M,1932-01-06 00:00:00,4/4/2023 5:01,1932.0,1.0,6.0,-2147483648,68,103,44,507454841
390,6500,Real Estate,Annette Lerner & family,93,United States,Real estate,Real Estate,United States,False,N,F,1930-02-27 00:00:00,4/4/2023 5:01,1930.0,2.0,27.0,-2147483648,89,102,37,328239523
390,6500,Real Estate,David Reuben,85,United Kingdom,"Investments, real estate",Real Estate,United Kingdom,True,D,M,1938-09-01 00:00:00,4/4/2023 5:01,1938.0,9.0,1.0,-2147483648,60,102,31,66834405
390,6500,Diversified,Simon Reuben,82,Monaco,"Real estate, investments",Diversified,United Kingdom,True,D,M,1941-05-01 00:00:00,4/4/2023 5:01,1941.0,5.0,1.0,-2147483648,68,103,44,38964
390,6500,Real Estate,Radovan Vitek,52,Switzerland,Real estate,Real Estate,Czech Republic,True,U,M,1971-04-22 00:00:00,4/4/2023 5:01,1971.0,4.0,22.0,-2147483648,60,106,29,8574832
397,6400,Finance & Investments,Carl Bennet,72,Sweden,Investments,Finance & Investments,Sweden,True,D,M,1951-08-19 00:00:00,4/4/2023 5:01,1951.0,8.0,19.0,-2147483648,67,127,50,10285453
397,6400,Sports,Stephen Bisciotti,63,United States,"Staffing, Baltimore Ravens",Sports,United States,True,U,M,1960-04-10 00:00:00,4/4/2023 5:01,1960.0,4.0,10.0,-2147483648,89,102,37,328239523
397,6400,Finance & Investments,Stanley Druckenmiller,70,United States,Hedge funds,Finance & Investments,United States,True,D,M,1953-06-14 00:00:00,4/4/2023 5:01,1953.0,6.0,14.0,-2147483648,89,102,37,328239523
397,6400,Healthcare,Jian Jun,60,China,Biomedical products,Healthcare,China,True,U,F,1963-11-01 00:00:00,4/4/2023 5:01,1963.0,11.0,1.0,-2147483648,51,101,60,1397715000
397,6400,Energy,Alexei Kuzmichev,61,France,"Oil, banking, telecom",Energy,Russia,True,U,M,1962-10-15 00:00:00,4/4/2023 5:01,1962.0,10.0,15.0,-2147483648,66,103,61,67059887
397,6400,Manufacturing,Dmitry Rybolovlev & family,57,Monaco,Fertilizer,Manufacturing,Russia,True,D,M,1966-11-22 00:00:00,4/4/2023 5:01,1966.0,11.0,22.0,-2147483648,68,103,44,38964
397,6400,Finance & Investments,Luis Carlos Sarmiento,90,Colombia,Banking,Finance & Investments,Colombia,True,D,M,1933-01-27 00:00:00,4/4/2023 5:01,1933.0,1.0,27.0,-2147483648,56,115,72,50339443
397,6400,Logistics,Dennis Washington,89,United States,"Construction, mining",Logistics,United States,True,D,M,1934-07-27 00:00:00,4/4/2023 5:01,1934.0,7.0,27.0,-2147483648,89,102,37,328239523
405,6300,Construction & Engineering,Anthony Bamford & family,78,United Kingdom,Construction equipment,Construction & Engineering,United Kingdom,False,U,M,1945-10-23 00:00:00,4/4/2023 5:01,1945.0,10.0,23.0,-2147483648,60,102,31,66834405
405,6300,Energy,Gao Jifan & family,58,China,Solar equipment,Energy,China,True,D,M,1965-01-01 00:00:00,4/4/2023 5:01,1965.0,1.0,1.0,-2147483648,51,101,60,1397715000
405,6300,Finance & Investments,John Grayken,67,United Kingdom,Private equity,Finance & Investments,Ireland,True,D,M,1956-06-01 00:00:00,4/4/2023 5:01,1956.0,6.0,1.0,-2147483648,60,102,31,66834405
405,6300,Healthcare,Alain Merieux & family,85,France,Pharmaceuticals,Healthcare,France,False,D,M,1938-01-01 00:00:00,4/4/2023 5:01,1938.0,1.0,1.0,-2147483648,66,103,61,67059887
405,6300,Energy,Wang Yusuo & family,59,China,Natural gas distribution,Energy,China,True,U,M,1964-03-11 00:00:00,4/4/2023 5:01,1964.0,3.0,11.0,-2147483648,51,101,60,1397715000
405,6300,Manufacturing,Stef Wertheimer & family,97,Israel,Metalworking tools,Manufacturing,Israel,True,U,M,1926-07-16 00:00:00,4/4/2023 5:01,1926.0,7.0,16.0,-2147483648,64,105,26,9053300
411,6200,Food & Beverage,Maria Asuncion Aramburuzabala & family,60,Mexico,"Beer, investments",Food & Beverage,Mexico,False,E,F,1963-05-02 00:00:00,4/4/2023 5:01,1963.0,5.0,2.0,-2147483648,41,106,56,126014024
411,6200,Diversified,Gustaf Douglas,85,Sweden,Investments,Diversified,Sweden,True,D,M,1938-03-03 00:00:00,4/4/2023 5:01,1938.0,3.0,3.0,-2147483648,67,127,50,10285453
411,6200,Service,Frits Goldschmeding,90,Netherlands,Temp agency,Service,Netherlands,True,U,M,1933-08-02 00:00:00,4/4/2023 5:01,1933.0,8.0,2.0,-2147483648,85,105,42,17332850
411,6200,Food & Beverage,Lin Muqin & family,59,China,Beverages,Food & Beverage,China,True,U,M,1964-01-01 00:00:00,4/4/2023 5:01,1964.0,1.0,1.0,-2147483648,51,101,60,1397715000
411,6200,Manufacturing,Ruan Liping,59,China,Power strips,Manufacturing,Hong Kong,True,U,M,1964-01-01 00:00:00,4/4/2023 5:01,1964.0,1.0,1.0,-2147483648,51,101,60,1397715000
411,6200,Manufacturing,Ruan Xueping,51,China,Power strip,Manufacturing,Hong Kong,True,U,M,1972-01-01 00:00:00,4/4/2023 5:01,1972.0,1.0,1.0,-2147483648,51,101,60,1397715000
411,6200,Finance & Investments,Michal Solowow,61,Poland,Investments,Finance & Investments,Poland,True,E,M,1962-07-11 00:00:00,4/4/2023 5:01,1962.0,7.0,11.0,-2147483648,68,100,41,37970874
418,6100,Diversified,Mike Adenuga,70,Nigeria,"Telecom, oil",Diversified,Nigeria,True,D,M,1953-04-29 00:00:00,4/4/2023 5:01,1953.0,4.0,29.0,-2147483648,11,85,35,200963599
418,6100,Finance & Investments,Tom Gores,59,United States,Private equity,Finance & Investments,United States,True,U,M,1964-07-31 00:00:00,4/4/2023 5:01,1964.0,7.0,31.0,-2147483648,89,102,37,328239523
418,6100,Fashion & Retail,Michael Herz,80,Germany,Coffee,Fashion & Retail,Germany,False,U,M,1943-09-28 00:00:00,4/4/2023 5:01,1943.0,9.0,28.0,-2147483648,71,104,49,83132799
418,6100,Fashion & Retail,Wolfgang Herz,72,Germany,Coffee,Fashion & Retail,Germany,False,U,M,1951-01-01 00:00:00,4/4/2023 5:01,1951.0,1.0,1.0,-2147483648,71,104,49,83132799
418,6100,Energy,Michael Kadoorie,82,Hong Kong,"Hotels, energy",Energy,Hong Kong,False,D,M,1941-07-19 00:00:00,4/4/2023 5:01,1941.0,7.0,19.0,-2147483648,68,103,44,507454841
418,6100,Telecom,Sunil Mittal,66,United States,Telecom,Telecom,India,True,Split Family Fortune,M,1957-10-23 00:00:00,4/4/2023 5:01,1957.0,10.0,23.0,-2147483648,89,102,37,328239523
418,6100,Technology,Zhou Qunfei,61,Hong Kong,Smartphone screens,Technology,Hong Kong,True,D,F,1962-01-01 00:00:00,4/4/2023 5:01,1962.0,1.0,1.0,-2147483648,68,103,44,507454841
425,6000,Metals & Mining,Alexander Abramov,64,Russia,"Steel, mining",Metals & Mining,Russia,True,U,M,1959-02-20 00:00:00,4/4/2023 5:01,1959.0,2.0,20.0,-2147483648,82,103,47,144373535
425,6000,Real Estate,Rene Benko,46,Austria,"Real estate, retail",Real Estate,Austria,True,U,M,1977-03-20 00:00:00,4/4/2023 5:01,1977.0,3.0,20.0,-2147483648,86,104,52,8877067
425,6000,Real Estate,Neil Bluhm,85,United States,Real estate,Real Estate,United States,True,U,M,1938-01-12 00:00:00,4/4/2023 5:01,1938.0,1.0,12.0,-2147483648,89,102,37,328239523
425,6000,Fashion & Retail,Alain Bouchard,74,Canada,Convinience stores,Fashion & Retail,Canada,True,U,M,1949-02-18 00:00:00,4/4/2023 5:01,1949.0,2.0,18.0,-2147483648,69,101,25,36991981
425,6000,Technology,Jay Chaudhry,64,United States,Security software,Technology,United States,True,D,M,1959-08-26 00:00:00,4/4/2023 5:01,1959.0,8.0,26.0,-2147483648,89,102,37,328239523
425,6000,Fashion & Retail,Gopikishan Damani,65,India,"Retail, investments",Fashion & Retail,India,True,D,M,1958-01-01 00:00:00,4/4/2023 5:01,1958.0,1.0,1.0,-2147483648,29,113,50,1366417754
425,6000,Diversified,Sumet Jiaravanon,89,Thailand,Diversified,Diversified,Thailand,False,U,M,1934-11-02 00:00:00,4/4/2023 5:01,1934.0,11.0,2.0,-2147483648,50,100,30,69625582
425,6000,Finance & Investments,Joe Lewis,86,Bahamas,Investments,Finance & Investments,United Kingdom,True,U,M,1937-02-05 00:00:00,4/4/2023 5:01,1937.0,2.0,5.0,-2147483648,68,103,44,507454841
425,6000,Finance & Investments,Frank Lowy,93,Israel,Investments,Finance & Investments,Australia,True,D,M,1930-10-22 00:00:00,4/4/2023 5:01,1930.0,10.0,22.0,-2147483648,64,105,26,9053300
425,6000,Finance & Investments,Michael Milken,77,United States,Investments,Finance & Investments,United States,True,U,M,1946-07-04 00:00:00,4/4/2023 5:01,1946.0,7.0,4.0,-2147483648,89,102,37,328239523
425,6000,Technology,David Steward,72,United States,IT provider,Technology,United States,True,U,M,1951-07-02 00:00:00,4/4/2023 5:01,1951.0,7.0,2.0,-2147483648,89,102,37,328239523
425,6000,Fashion & Retail,Les Wexner & family,86,United States,Retail,Fashion & Retail,United States,True,U,M,1937-09-08 00:00:00,4/4/2023 5:01,1937.0,9.0,8.0,-2147483648,89,102,37,328239523
437,5900,Real Estate,Cai Kui,60,China,Real estate,Real Estate,China,True,D,M,1963-01-01 00:00:00,4/4/2023 5:01,1963.0,1.0,1.0,-2147483648,51,101,60,1397715000
437,5900,Diversified,Jaran Chiaravanont,93,Thailand,Diversified,Diversified,Thailand,False,U,M,1930-04-01 00:00:00,4/4/2023 5:01,1930.0,4.0,1.0,-2147483648,50,100,30,69625582
437,5900,Finance & Investments,Andreas Halvorsen,62,United States,Hedge funds,Finance & Investments,Norway,True,D,M,1961-04-23 00:00:00,4/4/2023 5:01,1961.0,4.0,23.0,-2147483648,89,102,37,328239523
437,5900,Finance & Investments,Antony Ressler,63,United States,Finance,Finance & Investments,United States,True,U,M,1960-10-12 00:00:00,4/4/2023 5:01,1960.0,10.0,12.0,-2147483648,89,102,37,328239523
437,5900,Food & Beverage,Tsai Eng-meng,66,China,"Food, beverages",Food & Beverage,Taiwan,False,D,M,1957-01-15 00:00:00,4/4/2023 5:01,1957.0,1.0,15.0,-2147483648,51,101,60,1397715000
442,5800,Finance & Investments,Josh Harris,59,United States,Private equity,Finance & Investments,United States,True,E,M,1964-12-29 00:00:00,4/4/2023 5:01,1964.0,12.0,29.0,-2147483648,89,102,37,328239523
442,5800,Healthcare,Niels Peter Louis-Hansen,76,Denmark,Medical devices,Healthcare,Denmark,False,D,M,1947-10-25 00:00:00,4/4/2023 5:01,1947.0,10.0,25.0,-2147483648,81,102,24,5818553
442,5800,Healthcare,Patrick Soon-Shiong,71,United States,Pharmaceuticals,Healthcare,United States,True,D,M,1952-07-29 00:00:00,4/4/2023 5:01,1952.0,7.0,29.0,-2147483648,89,102,37,328239523
445,5700,Metals & Mining,Rinat Akhmetov,57,Ukraine,"Steel, coal",Metals & Mining,Ukraine,True,U,M,1966-09-21 00:00:00,4/4/2023 5:01,1966.0,9.0,21.0,-2147483648,83,99,46,44385155
445,5700,Healthcare,John Brown,89,United States,Medical equipment,Healthcare,United States,True,U,M,1934-09-15 00:00:00,4/4/2023 5:01,1934.0,9.0,15.0,-2147483648,89,102,37,328239523
445,5700,Media & Entertainment,Clive Calder,77,Cayman Islands,Record label,Media & Entertainment,United Kingdom,True,E,M,1946-12-13 00:00:00,4/4/2023 5:01,1946.0,12.0,13.0,-2147483648,68,103,44,507454841
445,5700,Energy,Arthur Irving,93,Canada,Oil,Energy,Canada,False,U,M,1930-01-01 00:00:00,4/4/2023 5:01,1930.0,1.0,1.0,-2147483648,69,101,25,36991981
445,5700,Real Estate,Fredrik Lundberg,72,Sweden,"Real estate, investments",Real Estate,Sweden,False,D,M,1951-08-05 00:00:00,4/4/2023 5:01,1951.0,8.0,5.0,-2147483648,67,127,50,10285453
445,5700,Construction & Engineering,Thomas Schmidheiny,78,Switzerland,Cement,Construction & Engineering,Switzerland,False,U,M,1945-12-17 00:00:00,4/4/2023 5:01,1945.0,12.0,17.0,-2147483648,60,106,29,8574832
445,5700,Logistics,Helmut Sohmen,84,Hong Kong,Shipping,Logistics,Austria,False,U,M,1939-12-10 00:00:00,4/4/2023 5:01,1939.0,12.0,10.0,-2147483648,68,103,44,507454841
445,5700,Finance & Investments,Daniel Ziff,52,United States,Investments,Finance & Investments,United States,False,U,M,1971-11-02 00:00:00,4/4/2023 5:01,1971.0,11.0,2.0,-2147483648,89,102,37,328239523
445,5700,Finance & Investments,Dirk Ziff,59,United States,Investments,Finance & Investments,United States,False,U,M,1964-04-01 00:00:00,4/4/2023 5:01,1964.0,4.0,1.0,-2147483648,89,102,37,328239523
445,5700,Finance & Investments,Robert Ziff,57,United States,Investments,Finance & Investments,United States,False,U,M,1966-08-12 00:00:00,4/4/2023 5:01,1966.0,8.0,12.0,-2147483648,89,102,37,328239523
455,5600,Logistics,Maria Angelicoussis,41,Greece,Shipping,Logistics,Greece,False,N,F,1982-02-18 00:00:00,4/4/2023 5:01,1982.0,2.0,18.0,-2147483648,137,100,52,10716322
455,5600,Energy,Ray Lee Hunt,80,United States,"Oil, real estate",Energy,United States,False,D,M,1943-04-06 00:00:00,4/4/2023 5:01,1943.0,4.0,6.0,-2147483648,89,102,37,328239523
455,5600,Logistics,Lai Meisong,53,China,Package delivery,Logistics,China,True,U,M,1970-12-01 00:00:00,4/4/2023 5:01,1970.0,12.0,1.0,-2147483648,51,101,60,1397715000
455,5600,Automotive,Vikram Lal & family,81,India,Motorcycles,Automotive,India,False,U,M,1942-03-05 00:00:00,4/4/2023 5:01,1942.0,3.0,5.0,-2147483648,29,113,50,1366417754
455,5600,Finance & Investments,Ken Langone,88,United States,Investments,Finance & Investments,United States,True,D,M,1935-09-16 00:00:00,4/4/2023 5:01,1935.0,9.0,16.0,-2147483648,89,102,37,328239523
455,5600,Healthcare,Li Ge,56,China,Pharmaceutical ingredients,Healthcare,United States,True,Split Family Fortune,M,1967-01-01 00:00:00,4/4/2023 5:01,1967.0,1.0,1.0,-2147483648,51,101,60,1397715000
455,5600,Finance & Investments,Karen Pritzker,65,United States,"Hotels, investments",Finance & Investments,United States,False,D,F,1958-01-07 00:00:00,4/4/2023 5:01,1958.0,1.0,7.0,-2147483648,89,102,37,328239523
455,5600,Service,Robert Rowling,70,United States,"Hotels, investments",Service,United States,False,U,M,1953-09-26 00:00:00,4/4/2023 5:01,1953.0,9.0,26.0,-2147483648,89,102,37,328239523
455,5600,Gambling & Casinos,Teddy Sagi,52,Israel,Gambling software,Gambling & Casinos,Israel,True,E,M,1971-11-01 00:00:00,4/4/2023 5:01,1971.0,11.0,1.0,-2147483648,64,105,26,9053300
455,5600,Healthcare,Seo Jung-jin,66,South Korea,Biotech,Healthcare,South Korea,True,D,M,1957-10-23 00:00:00,4/4/2023 5:01,1957.0,10.0,23.0,-2147483648,95,99,34,51709098
455,5600,Automotive,Wu Jianshu,59,China,Auto parts,Automotive,Hong Kong,True,D,M,1964-01-01 00:00:00,4/4/2023 5:01,1964.0,1.0,1.0,-2147483648,51,101,60,1397715000
466,5500,Service,Micky Arison,74,United States,Carnival Cruises,Service,United States,False,D,M,1949-06-29 00:00:00,4/4/2023 5:01,1949.0,6.0,29.0,-2147483648,89,102,37,328239523
466,5500,Media & Entertainment,James Chambers,66,United States,"Media, automotive",Media & Entertainment,United States,False,U,M,1957-04-12 00:00:00,4/4/2023 5:01,1957.0,4.0,12.0,-2147483648,89,102,37,328239523
466,5500,Technology,Pierre Chen,67,Taiwan,Electronics,Technology,Taiwan,True,U,M,1956-09-28 00:00:00,4/4/2023 5:01,1956.0,9.0,28.0,-2147483648,68,103,44,507454841
466,5500,Technology,John Collison,33,United States,Payments software,Technology,Ireland,True,D,M,1990-08-06 00:00:00,4/4/2023 5:01,1990.0,8.0,6.0,-2147483648,89,102,37,328239523
466,5500,Technology,Patrick Collison,35,United States,Payment software,Technology,Ireland,True,D,M,1988-09-09 00:00:00,4/4/2023 5:01,1988.0,9.0,9.0,-2147483648,89,102,37,328239523
466,5500,Manufacturing,Archie Aldis Emmerson & family,94,United States,"Timberland, lumber mills",Manufacturing,United States,True,U,M,1929-04-10 00:00:00,4/4/2023 5:01,1929.0,4.0,10.0,-2147483648,89,102,37,328239523
466,5500,Automotive,Piero Ferrari,78,Italy,Automobiles,Automotive,Italy,False,U,M,1945-05-22 00:00:00,4/4/2023 5:01,1945.0,5.0,22.0,-2147483648,62,102,60,60297396
466,5500,Automotive,Dan Friedkin,58,United States,Toyota dealerships,Automotive,United States,False,U,M,1965-02-27 00:00:00,4/4/2023 5:01,1965.0,2.0,27.0,-2147483648,89,102,37,328239523
466,5500,Diversified,James Irving,95,Canada,Diversified,Diversified,Canada,False,U,M,1928-03-20 00:00:00,4/4/2023 5:01,1928.0,3.0,20.0,-2147483648,69,101,25,36991981
466,5500,Manufacturing,Jiang Weiping & family,68,China,Chemicals,Manufacturing,China,True,D,M,1955-03-01 00:00:00,4/4/2023 5:01,1955.0,3.0,1.0,-2147483648,51,101,60,1397715000
466,5500,Healthcare,Wolfgang Marguerre & family,82,Germany,Pharmaceuticals,Healthcare,Germany,True,U,M,1941-06-04 00:00:00,4/4/2023 5:01,1941.0,6.0,4.0,-2147483648,71,104,49,83132799
466,5500,Finance & Investments,Ludwig Merckle,58,Germany,Pharmaceuticals,Finance & Investments,Germany,False,D,M,1965-01-01 00:00:00,4/4/2023 5:01,1965.0,1.0,1.0,-2147483648,71,104,49,83132799
466,5500,Manufacturing,Mitchell Rales,67,United States,"Manufacturing, investments",Manufacturing,United States,True,D,M,1956-08-21 00:00:00,4/4/2023 5:01,1956.0,8.0,21.0,-2147483648,89,102,37,328239523
466,5500,Media & Entertainment,Katharine Rayner,78,United States,"Media, automotive",Media & Entertainment,United States,False,U,F,1945-01-12 00:00:00,4/4/2023 5:01,1945.0,1.0,12.0,-2147483648,89,102,37,328239523
466,5500,Finance & Investments,Jean Salata,58,Hong Kong,Finance,Finance & Investments,Chile,True,U,M,1965-12-01 00:00:00,4/4/2023 5:01,1965.0,12.0,1.0,-2147483648,68,103,44,507454841
466,5500,Finance & Investments,Paul Singer,79,United States,Hedge funds,Finance & Investments,United States,True,U,M,1944-08-22 00:00:00,4/4/2023 5:01,1944.0,8.0,22.0,-2147483648,89,102,37,328239523
466,5500,Healthcare,Sergio Stevanato & family,80,Italy,Medical packaging,Healthcare,Italy,True,U,M,1943-03-20 00:00:00,4/4/2023 5:01,1943.0,3.0,20.0,-2147483648,62,102,60,60297396
466,5500,Media & Entertainment,Margaretta Taylor,81,United States,"Media, automotive",Media & Entertainment,United States,False,U,F,1942-04-15 00:00:00,4/4/2023 5:01,1942.0,4.0,15.0,-2147483648,89,102,37,328239523
466,5500,Technology,Richard White,68,Australia,Software,Technology,Australia,True,U,M,1955-04-01 00:00:00,4/4/2023 5:01,1955.0,4.0,1.0,-2147483648,114,101,48,25766605
466,5500,Diversified,Zhao Yan,56,China,Biotech,Diversified,China,True,D,F,1967-01-01 00:00:00,4/4/2023 5:01,1967.0,1.0,1.0,-2147483648,51,101,60,1397715000
486,5400,Fashion & Retail,Patrizio Bertelli,77,Italy,Luxury goods,Fashion & Retail,Italy,True,U,M,1946-01-01 00:00:00,4/4/2023 5:01,1946.0,1.0,1.0,-2147483648,62,102,60,60297396
486,5400,Manufacturing,Mahendra Choksi & family,82,India,Paints,Manufacturing,India,False,D,M,1941-04-19 00:00:00,4/4/2023 5:01,1941.0,4.0,19.0,-2147483648,29,113,50,1366417754
486,5400,Finance & Investments,Mat Ishbia,43,United States,Mortgage lender,Finance & Investments,United States,False,U,M,1980-01-06 00:00:00,4/4/2023 5:01,1980.0,1.0,6.0,-2147483648,89,102,37,328239523
486,5400,Technology,Leo Koguan,68,Singapore,IT provider,Technology,United States,True,D,M,1955-02-15 00:00:00,4/4/2023 5:01,1955.0,2.0,15.0,-2147483648,85,101,21,5703569
486,5400,Diversified,Miao Hangen,58,China,"Textiles, petrochemicals",Diversified,China,True,D,M,1965-01-01 00:00:00,4/4/2023 5:01,1965.0,1.0,1.0,-2147483648,51,101,60,1397715000
486,5400,Manufacturing,Michael Pieper,77,Switzerland,Kitchen appliances,Manufacturing,Switzerland,True,U,M,1946-02-05 00:00:00,4/4/2023 5:01,1946.0,2.0,5.0,-2147483648,60,106,29,8574832
486,5400,Fashion & Retail,Miuccia Prada,74,Italy,Luxury goods,Fashion & Retail,Italy,False,U,F,1949-05-10 00:00:00,4/4/2023 5:01,1949.0,5.0,10.0,-2147483648,62,102,60,60297396
